   3Arizona                                             20             34.2141488      21   2   2   2   2   2 Curriculum Coordinator                                                 Curriculum Coordinator                                                 Curriculum Coordinator                                                 Curriculum Coordinator                                                 Curriculum Coordinator                                                    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    1    2    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    2    2    2    1    1    1    1    2    1    2    1    3    2    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    2    2    C    2    A    A    A    A    A    A    A    A    A
   3Arizona                                             22             27.0447987      43   M   M   M   2   2 Health/Physical Education Teacher                                      Health/Physical Education Teacher                                      Health/Physical Education Teacher                                      Health/Physical Education Teacher                                      School Nurse                                                              M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    2    1    2    1    1    2    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    2    2    C    1    1    1    2    2    2    1    1    2    2    2    2    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    2    A    A    A    A    A    A    A    A
   3Arizona                                             23             27.0386923      41   2   2   2   M   2 Sports Coordinator/Teacher                                             Teacher                                                                Teacher                                                                                                                                       Sports Coordinator/Teacher                                                2    A    A    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    2    1    1    2    2    1    1    1    1    1    2    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    1    1    1    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    1    1    1    1    1    1    1    1    2    2    1    1    1    1    2    2    2    2    2    2    1    1    2    2    2    2    2    1    2    2    2    2    2    2    2    2    1    2    1    1    2    2    2    1    2    1    1    1    2    1    1    1    2    2    1    1    2    2    2    1    2    2    3    3    3    1    1    1    2    1    2    1    1    1    1    1    1    2    1    2    1    1    2    2    1    1    2    2    2    2    A    A    A    A    A    A    A    A    A
   3Arizona                                             24             26.9847945      42   M   2   M   M   M                                                                        Superintendent                                                                                                                                                                                                                                                                                 M    M    M    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M
   3Arizona                                             25             26.9847945      42   2   2   M   M   2 Superintendent                                                         Superintendent                                                                                                                                                                                                       Superintendent                                                            2    A    A    2    A    A    A    A    A    A    A    A    A    1    1    1    1    2    2    2    2    2    2    1    1    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    1    2    2    2    2    2    1    2    2    2    2    2    2    3    3    3    2    3    3    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    3    2    A    A    A    A    A    A    A    A    A
   4Arkansas                                            27             14.1432666      13   2   2   2   2   2 Director of Professional Development                                   Executive Director of Curriculum and Instruction K-6                   Executive Director of Curriculum and Instruction K-6                   Health Teacher                                                         Health Services Coordinator                                               1    2    2    1    1    2    1    1    1    2    1    1    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    1    1    2    1    2    2    2    1    1    2    1    1    1    2    1    1    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    1    2    2    1    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    1    1    1    2    2    1    1    1    2    2    1    2    2    1    1    2    1    2    2    2    2    2    2    1    1    2    1    1    1    1    2    2    2    2    1    1    1    2    2    3    C    2    A    A    A    A    A    A    A    A
   4Arkansas                                            28             17.0488615      42   2   2   2   2   2 Principal                                                              Principal                                                              Health Instructor                                                      Health Instructor                                                      Assistant Principal                                                       1    1    2    1    1    2    1    2    1    1    1    1    2    2    1    1    1    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1    1    1    1    A    A    A    1    2    1    1    2    2    1    1    1    2    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    1    1    1    2    2    2    2    2    1    1    2    2    2    2    2    2    2    2    1    1    1    2    2    2    2    2    2    1    1    2    2    2    2    2    2    1    2    2    2    1    2    2    1    1    3    1    3    3    2    1    1    1    1    2    1    1    1    2    1    1    1    2    2    2    2    2    1    1    1    1    2    A    A    A    A    A    A    A    A
   4Arkansas                                            29             17.0829139      41   2   2   2   2   2 Federal Programs Coordinator                                           Physical Education Teacher                                             Physical Education Teacher                                             Physical Education Teacher                                             Federal Programs Coordinator                                              1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    2    2    2    2    2    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    2    1    1    1    2    2    C    1    1    1    2    1    1    2    2    1    1    1    1    1    2    2    2    1    2    2    2    2    2    1    1    1    1    1    1    1    2    A    A    A    A    A    A    A    A
   4Arkansas                                            30             16.8520422      33   1   M   2   M   2 Instructor                                                             Instructor                                                             Instructor                                                             Instructor                                                             Administrative Assistant                                                  1    1    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    1    1    1    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    2    A    A    A    A    A    A    A    A    A
   4Arkansas                                            31             16.8535235      32   2   2   2   2   2 Physical Education and Academic Skills                                 Physical Education and Cheer Coach                                     Assistant Principal                                                    Coach/Health/Physical Education                                        Principal                                                                 1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    1    1    1    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    2    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2    2    2    1    1    1    1    1    2    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    1    2    1    1    1    2    1    1    1    1    1    1    1    2    1    1    2    2    2
   4Arkansas                                            33             17.0829139      41   2   2   2   2   2 Wellness Committee Chair/Coach                                         Wellness Committee Chair/Coach                                         Wellness Committee Chair/Coach                                         Wellness Committee Chair/Coach                                         Wellness Committee Chair/Coach                                            1    C    C    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    1    2    1    1    2    1    1    1    1    1    1    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    1    1    1    2    2    1    1    2    C    C    C    C    C    1    1    1    1    C    2    2    2    2    2    2    2    2    2    2    1    2    2    1    2    2    2    2    C    C    C    C    C    2    2    2    2    1    1    1    2    2    2    2    2    2    2    2    2    2    2    C    C    C    C    C    C    C    C    C    C    C    2    2    2    2    2    2    C    C    C    1    1    1    2    2    1    1    C    C    C    C    C    C    C    C    1    1    1    2    A    A    A    A    A    A    A    A    A
   4Arkansas                                            34             20.8008805      32   2   2   2   2   2 Counselor                                                              Health Coordinator                                                     Health Teacher                                                         Health Teacher/Coach                                                   Counselor                                                                 1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    2    2    2    1    1    1    1    2    1    2    2    1    1    A    A    A    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    C    C    C    C    C    C    C    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    2    1    2    1    2    1    2
   4Arkansas                                            35             16.8520422      33   2   2   2   2   M Curriculum Director                                                    Principal                                                              Principal                                                              Principal                                                                                                                                        C    C    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    1    1    1    1    1    2    2    2    A    A    A    1    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    1    1    1    1    1    1    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    2    1    1    2    1    1    2    1    1    2    1    1    1    1    1    1    2    2    1    2    2    2    2    2    1    2    1    1    1    1    1    M    M    M    M    M    M    M    M    M    M
   4Arkansas                                            37             16.7370506      42   2   2   M   2   2 Curriculum Coordinator                                                 Elementary Physical Educationa Teacher                                 Jr/Sr High Physical/Health Education Teacher                           Jr/Sr High Physical/Health Education Teacher                           Curriculum Coordinator                                                    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    1    2    2    1    2    2    2    2    2    2    1    1    1    1    2    2    2    2    2    2    1    1    2    1    1    2    2    2    1    1    2    1    1    1    2    2    1    1    1    1    1    1    2    2    1    2    1    1    1    1    1    2    1    2    1    2    2    2    1    1    1    1    2    2    A    A    A    A    A    A    A    A    A
   4Arkansas                                            38             20.7990521      33   2   M   2   M   M Coach                                                                  Coach                                                                  Coach                                                                  Coach                                                                  Coach                                                                     1    1    C    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    2    1    2    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    1    1    1    1    2    1    1    1    1    1    1    1    2    1    2    1    1    1    2    1    1    3    1    1    1    1    2    1    2    1    1    1    1    2    2    2    1    1    1    1    1    1    1    M    M    M    M    M    M    M    M    M    M
   4Arkansas                                            40             17.0488615      42   2   2   2   2   2 Physical Education Teacher                                             Physical Education Teacher                                             Physical Education Teacher                                             Coach                                                                  Physical Education Teacher                                                1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    2    2    2    2    2    1    1    1    1    1    1    1    1    A    A    A    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1    2    1    1    1    1    1    1    1    1    A    A    A    1    1    1    1    1    2    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    2    2    2    1    2    1    1    1    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A
